ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/01/04,"43,362,759","423,778,164",10,10.05,9.6,9.6,-0.34,"9,518"
105/01/05,"34,322,159","329,609,014",9.6,9.7,9.5,9.52,-0.08,"7,499"
105/01/06,"45,954,204","437,943,045",9.55,9.63,9.45,9.46,-0.06,"8,931"
105/01/07,"53,729,470","507,778,338",9.46,9.57,9.32,9.53,0.07,"9,968"
105/01/08,"36,282,123","345,064,539",9.53,9.55,9.41,9.52,-0.01,"6,930"
105/01/11,"34,177,010","322,523,117",9.46,9.54,9.34,9.35,-0.17,"7,640"
105/01/12,"87,257,943","846,724,461",9.41,9.86,9.38,9.6,0.25,"13,502"
105/01/13,"44,582,652","436,244,550",9.78,9.88,9.71,9.8,0.2,"7,473"
105/01/14,"32,164,521","313,312,270",9.56,9.87,9.56,9.73,-0.07,"5,660"
105/01/15,"47,436,118","450,388,505",9.75,9.8,9.35,9.47,-0.26,"9,881"
105/01/18,"37,310,577","350,697,542",9.31,9.52,9.31,9.41,-0.06,"7,813"
105/01/19,"23,401,198","221,376,810",9.46,9.55,9.41,9.42,0.01,"5,561"
105/01/20,"52,428,836","485,663,864",9.42,9.44,9.16,9.17,-0.25,"9,095"
105/01/21,"32,145,986","299,111,357",9.3,9.4,9.23,9.28,0.11,"5,402"
105/01/22,"22,650,793","212,352,095",9.53,9.54,9.28,9.3,0.02,"4,518"
105/01/25,"26,877,794","252,864,425",9.43,9.46,9.35,9.38,0.08,"5,196"
105/01/26,"43,396,429","409,484,445",9.36,9.5,9.34,9.49,0.11,"7,961"
105/01/27,"33,684,810","316,615,714",9.5,9.51,9.34,9.34,-0.15,"6,341"
105/01/28,"29,629,477","279,466,411",9.36,9.47,9.35,9.45,0.11,"4,680"
105/01/29,"49,036,432","461,043,398",9.4,9.52,9.25,9.43,-0.02,"8,963"
105/01/30,"26,948,406","260,299,417",9.52,9.8,9.5,9.65,0.22,"7,228"
105/02/01,"39,591,937","383,800,104",9.65,9.79,9.61,9.62,-0.03,"6,553"
105/02/02,"42,561,878","410,311,855",9.64,9.74,9.49,9.65,0.03,"7,103"
105/02/03,"55,739,604","524,175,081",9.5,9.52,9.33,9.33,-0.32,"9,193"
105/02/15,"66,843,992","600,805,129",8.87,9.09,8.8,9.07,-0.26,"14,663"
105/02/16,"36,262,857","334,813,047",9.07,9.31,9.07,9.28,0.21,"7,379"
105/02/17,"41,261,007","378,180,681",9.28,9.3,9.05,9.05,-0.23,"8,951"
105/02/18,"38,590,998","353,747,105",9.19,9.24,9.12,9.12,0.07,"6,289"
105/02/19,"28,291,920","258,517,600",9.09,9.18,9.08,9.16,0.04,"6,286"
105/02/22,"36,350,159","329,810,877",9.08,9.18,8.96,9.03,-0.13,"7,457"
105/02/23,"56,534,636","516,706,232",9.09,9.23,9.04,9.15,0.12,"8,700"
105/02/24,"83,633,148","790,650,015",9.22,9.67,9.21,9.35,0.2,"13,804"
105/02/25,"204,351,748","2,015,081,262",9.43,10.2,9.36,9.9,0.55,"29,745"
105/02/26,"88,675,100","850,823,486",9.57,9.66,9.51,9.66,-0.24,"12,880"
105/03/01,"56,794,437","549,472,682",9.66,9.76,9.62,9.62,-0.04,"12,270"
105/03/02,"93,927,235","938,185,760",9.84,10.1,9.78,10,0.38,"15,472"
105/03/03,"99,422,381","1,023,592,909",10.1,10.4,10.1,10.4,0.4,"15,145"
105/03/04,"87,012,238","906,395,719",10.45,10.5,10.25,10.5,0.1,"15,300"
105/03/07,"67,839,733","705,336,619",10.55,10.6,10.25,10.25,-0.25,"13,177"
105/03/08,"147,280,655","1,580,861,868",10.35,11.2,10.25,11.15,0.9,"21,543"
105/03/09,"145,325,970","1,612,835,670",11.15,11.4,10.85,11,-0.15,"21,457"
105/03/10,"93,856,431","1,041,251,126",10.9,11.25,10.8,11.15,0.15,"14,736"
105/03/11,"75,715,821","845,477,727",11.2,11.3,11.05,11.2,0.05,"11,077"
105/03/14,"91,691,272","1,046,632,224",11.3,11.55,11.25,11.3,0.1,"14,575"
105/03/15,"119,751,834","1,326,537,428",11.35,11.5,10.8,10.8,-0.5,"15,812"
105/03/16,"86,033,615","958,132,986",10.9,11.3,10.9,11.15,0.35,"13,022"
105/03/17,"82,318,830","911,704,825",11.25,11.4,10.8,10.85,-0.3,"11,937"
105/03/18,"79,603,104","873,572,257",10.9,11.15,10.85,10.9,0.05,"9,654"
105/03/21,"47,295,416","517,242,995",10.95,11.1,10.75,11.1,0.2,"7,375"
105/03/22,"45,124,402","492,598,789",11,11.05,10.8,10.9,-0.2,"6,772"
105/03/23,"65,381,734","720,790,909",11,11.2,10.9,10.9,0,"10,044"
105/03/24,"49,351,643","535,560,052",10.85,11,10.7,10.85,-0.05,"7,751"
105/03/25,"21,317,855","231,377,608",11,11,10.8,10.8,-0.05,"3,596"
105/03/28,"136,374,201","1,549,052,826",11.1,11.6,11.05,11.3,0.5,"18,244"
105/03/29,"109,055,417","1,220,165,125",11.4,11.5,10.95,11.05,-0.25,"12,845"
105/03/30,"151,720,848","1,733,070,627",11.3,11.6,11.25,11.35,0.3,"19,219"
105/03/31,"108,759,967","1,218,779,800",11.45,11.5,11,11.25,-0.1,"14,769"
105/04/01,"39,754,096","442,926,894",11.15,11.25,11.05,11.2,-0.05,"6,054"
105/04/06,"47,668,859","528,035,599",11.2,11.25,11,11,-0.2,"9,880"
105/04/07,"66,776,898","724,069,382",11.05,11.1,10.7,10.75,-0.25,"10,181"
105/04/08,"109,997,822","1,213,958,350",10.55,11.2,10.55,11.1,0.35,"13,940"
105/04/11,"42,599,975","472,623,247",11.05,11.2,10.95,11.15,0.05,"6,527"
105/04/12,"55,914,630","620,861,630",11.2,11.3,10.95,11,-0.15,"7,654"
105/04/13,"34,003,124","379,425,647",11.15,11.2,11.1,11.2,0.2,"5,827"
105/04/14,"66,522,115","753,005,202",11.3,11.5,11.15,11.15,-0.05,"8,520"
105/04/15,"29,578,474","330,108,183",11.15,11.25,11.1,11.2,0.05,"5,499"
105/04/18,"24,504,023","272,993,483",11.2,11.25,11.05,11.1,-0.1,"4,635"
105/04/19,"30,905,741","342,823,251",11.25,11.25,11,11,-0.1,"4,639"
105/04/20,"36,028,388","394,738,009",11.1,11.15,10.85,10.85,-0.15,"6,202"
105/04/21,"30,351,580","330,980,590",11,11.1,10.8,10.8,-0.05,"5,743"
105/04/22,"30,988,688","337,131,744",10.85,11,10.8,10.85,0.05,"4,855"
105/04/25,"24,005,103","257,943,711",10.85,10.9,10.65,10.65,-0.2,"4,469"
105/04/26,"43,931,598","462,053,142",10.65,10.7,10.4,10.4,-0.25,"7,658"
105/04/27,"36,125,159","376,606,115",10.4,10.55,10.3,10.3,-0.1,"6,760"
105/04/28,"47,666,331","484,652,168",10.4,10.45,10,10.05,-0.25,"7,637"
105/04/29,"42,726,897","427,024,130",10,10.1,9.91,10,-0.05,"7,372"
105/05/03,"37,568,321","370,726,216",10,10.05,9.8,9.8,-0.2,"7,997"
105/05/04,"44,752,890","429,504,318",9.8,9.85,9.5,9.51,-0.29,"9,563"
105/05/05,"29,924,206","286,684,735",9.55,9.66,9.5,9.58,0.07,"6,182"
105/05/06,"27,576,098","261,476,197",9.58,9.59,9.41,9.48,-0.1,"5,611"
105/05/09,"26,998,318","259,332,576",9.6,9.69,9.49,9.55,0.07,"6,380"
105/05/10,"20,474,242","196,068,987",9.6,9.64,9.53,9.63,0.08,"5,257"
105/05/11,"27,748,636","265,958,906",9.7,9.75,9.49,9.49,-0.14,"5,825"
105/05/12,"15,244,229","145,443,891",9.49,9.6,9.49,9.55,0.06,"3,429"
105/05/13,"44,582,883","414,729,867",9.59,9.59,9.1,9.23,-0.32,"10,718"
105/05/16,"31,190,965","284,693,570",9.2,9.23,9.03,9.19,-0.04,"6,239"
105/05/17,"37,005,922","337,703,192",9.19,9.19,9.04,9.18,-0.01,"7,144"
105/05/18,"33,366,121","303,255,305",9.09,9.14,9.05,9.08,-0.1,"6,620"
105/05/19,"24,791,829","225,225,062",9.08,9.14,9.05,9.07,-0.01,"4,999"
105/05/20,"49,516,517","453,916,738",9.09,9.32,9.03,9.2,0.13,"9,429"
105/05/23,"80,986,666","779,036,106",9.37,9.77,9.33,9.75,0.55,"14,050"
105/05/24,"52,464,426","499,203,286",9.65,9.66,9.45,9.45,-0.3,"10,761"
105/05/25,"50,235,643","480,975,394",9.57,9.64,9.51,9.55,0.1,"10,629"
105/05/26,"19,344,342","184,999,093",9.6,9.6,9.52,9.6,0.05,"4,186"
105/05/27,"48,643,375","472,310,064",9.66,9.8,9.62,9.78,0.18,"9,362"
105/05/30,"29,782,366","287,752,129",9.77,9.77,9.62,9.63,-0.15,"7,376"
105/05/31,"43,854,537","423,901,113",9.65,9.73,9.61,9.67,0.04,"5,432"
105/06/01,"80,600,355","801,195,825",9.67,10.1,9.67,9.98,0.31,"12,762"
105/06/02,"41,881,203","413,411,746",9.98,10.05,9.75,9.75,-0.23,"7,742"
105/06/03,"30,196,707","293,979,042",9.8,9.86,9.66,9.71,-0.04,"5,563"
105/06/04,"9,324,627","90,480,944",9.77,9.78,9.68,9.68,-0.03,"2,082"
105/06/06,"48,560,796","479,000,768",9.78,10.05,9.75,9.76,0.08,"7,409"
